,name,artistName,trackName,msPlayed,datetime,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,,,,,,,,,,
75,Faded - Tungevaag & Raaban Remix___Alan Walker,Alan Walker,Faded - Tungevaag & Raaban Remix,62968,12/18/19 18:15,0.638,0.81,-6.836,0.0671,0.00742,0.0475,0.101,0.155,128.041,251507,,,,,,,,,,
76,Don't Let Me Down (feat. Daya) - Hardwell & Sephyx Remix___The Chainsmokers,The Chainsmokers,Don't Let Me Down (feat. Daya) - Hardwell & Sephyx Remix,44543,12/18/19 18:16,0.509,0.897,-3.418,0.0454,0.0861,0.000634,0.0625,0.283,149.864,162440,,,,,,,,,,
77,Alone - MRVLZ Remix___Marshmello,Marshmello,Alone - MRVLZ Remix,108426,12/18/19 18:18,0.625,0.921,-3.29,0.0305,0.0412,1.21E-05,0.0782,0.494,100.004,166002,,,,,,,,,,
78,The Universe___Hardwell,Hardwell,The Universe,103414,12/18/19 18:20,0.669,0.917,-4.336,0.0824,0.000472,0.000707,0.119,0.132,130.015,262150,,,,,,,,,,
79,Underground___Quintino,Quintino,Underground,172499,12/18/19 18:22,0.521,0.842,-5.154,0.0472,0.000891,0.0234,0.0445,0.142,93.984,264300,,,,,,,,,,
80,Arcade___Dimitri Vegas & Like Mike,Dimitri Vegas & Like Mike,Arcade,91126,12/18/19 18:24,0.565,0.957,-4.167,0.0723,0.00923,0.69,0.293,0.175,127.953,225000,,,,,,,,,,
81,Game Day___BLVD.,BLVD.,Game Day,3794,12/18/19 18:27,0.593,0.993,-2.126,0.336,0.00302,0.346,0.39,0.457,149.886,188476,,,,,,,,,,
82,Lightning Strikes___Steve Aoki,Steve Aoki,Lightning Strikes,1106,12/18/19 18:27,0.619,0.979,-6.194,0.108,0.0277,0.06,0.296,0.13,130.009,238128,,,,,,,,,,
83,Heroes (we could be)___Alesso,Alesso,Heroes (we could be),1392,12/18/19 18:27,0.503,0.748,-4.124,0.0619,0.0305,0,0.343,0.356,125.896,210013,,,,,,,,,,
84,Like I Do___David Guetta,David Guetta,Like I Do,9215,12/18/19 18:27,0.635,0.9,-3.719,0.0377,0.00664,0.0145,0.37,0.15,127.978,202500,,,,,,,,,,
